"","date.x","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","name","age","gender","race","date.y","cause_of_death","wapo_armed","wapo_threat_level","officer_known_past_shootings","year","mappingPreGF","mappingPostGF","mappingBlackOnlyPreGF","mappingBlackOnlyPostGF"
"135204",2020-06-04,"grove, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,42085,"4231656",7945,139,45,838,3986,565,27,161,2401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135205",2020-06-04,"honesdale, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,42127,"4235520",4292,27,27,330,3043,188,44,19,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135215",2020-06-04,"lansford, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,12,12,12,42025,"4241464",3796,30,30,162,2644,117,0,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135217",2020-06-04,"mifflintown, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,15,20,18,42067,"4249304",964,7,3,49,639,24,5,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135218",2020-06-04,"newtown, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,42017,"4254184",1957,3,3,444,1549,257,103,80,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135220",2020-06-04,"palmerton, pennsylvania","policing; racism","college student","antiracism; against police brutality",1,1,1,1,42025,"4257696",5313,0,0,387,3714,248,19,0,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135221",2020-06-04,"paoli, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,2000,2000,2000,42029,"4257816",5651,261,219,1467,4331,779,154,164,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135302",2020-06-04,"portage, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,50,50,50,42021,"4262048",2439,9,9,206,1799,91,21,5,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135303",2020-06-04,"shamokin, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,30,30,30,42097,"4269600",7051,67,67,436,4978,200,12,8,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135304",2020-06-04,"sharpsville, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,42085,"4269800",4168,51,51,406,3032,128,23,21,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135305",2020-06-04,"souderton, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,200,2000,1100,42091,"4271856",6962,149,149,770,4697,330,32,57,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135306",2020-06-04,"tyrone, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,40,50,45,42013,"4278168",5217,13,13,369,3750,182,0,4,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135307",2020-06-04,"vandergrift, pennsylvania","policing; racism","general protesters","antiracism; against police brutality",1,30,30,30,42129,"4279776",4950,201,201,382,3406,155,14,14,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135309",2020-06-04,"yardley, pennsylvania","policing; racism","Bucks County NAACP","antiracism; against police brutality",1,1000,10000,5500,42017,"4286920",2480,67,67,567,1860,415,98,38,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135414",2020-06-04,"sweetwater, tennessee","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,47123,"4772540",5873,430,430,425,4063,126,45,0,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135500",2020-06-04,"edna, texas","policing; racism","general protesters","antiracism; against police brutality",1,80,80,80,48239,"4822720",5767,859,733,416,3658,72,19,0,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135501",2020-06-04,"flower mound, texas","policing; racism","general protestors","against Black Lives Matter protesters",2,40,40,40,48121,"4826232",76555,3022,2948,20086,49982,8680,1318,919,3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135502",2020-06-04,"flower mound, texas","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,48121,"4826232",76555,3022,2948,20086,49982,8680,1318,919,3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135689",2020-06-04,"lampasas, texas","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,48281,"4841188",7760,390,385,479,5206,214,77,0,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135838",2020-06-04,"stephenville, texas","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,48143,"4870208",20603,726,456,2333,10140,714,151,124,5307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135841",2020-06-04,"kanab, utah","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,49025,"4939920",4636,1,0,728,3456,477,30,31,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135842",2020-06-04,"burke, virginia","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,51059,"5111464",42806,3115,3115,9326,29106,7249,1184,672,2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135851",2020-06-04,"orange, virginia","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,51137,"5159496",4975,1053,949,429,3075,150,59,10,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135882",2020-06-04,"vienna, virginia","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,51059,"5181072",16489,442,442,3206,10869,2962,770,515,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135883",2020-06-04,"woodstock, vermont","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,50027,"5085900",1245,4,4,336,875,135,44,26,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135885",2020-06-04,"burlington, washington","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,53057,"5308920",8881,138,138,791,5727,245,20,45,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135889",2020-06-04,"monroe, washington","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,53061,"5346685",18865,801,249,2093,12799,532,146,56,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135890",2020-06-04,"mountlake terrace, washington","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,53061,"5347490",21210,1594,1586,3844,15501,1276,241,245,1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135894",2020-06-04,"omak, washington","policing; racism","general protesters","antiracism; against police brutality",1,400,500,450,53047,"5351340",4774,0,0,121,3061,44,89,22,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135991",2020-06-04,"brookfield, wisconsin","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,55133,"5510025",38358,379,360,9201,27440,4520,2082,863,1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135992",2020-06-04,"kiel, wisconsin","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,55071,"5539525",3679,0,0,298,2463,148,17,14,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136041",2020-06-04,"sturgeon bay, wisconsin","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,55029,"5577875",8885,212,184,1288,6598,279,209,50,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136042",2020-06-04,"superior, wisconsin","policing; racism","North Save the Kids; Racine Save the Kids; Grandmothers for Peace- Northland; Gitchigumi Scouts","antiracism; against police brutality",1,100,100,100,55031,"5578650",26223,515,427,2859,18067,1082,229,91,2058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136043",2020-06-04,"superior, wisconsin","policing; racism","North Save the Kids; Racine Save the Kids; Grandmothers for Peace- Northland; Gitchigumi Scouts","antiracism; against police brutality",1,100,100,100,55031,"5578660",802,1,1,96,569,19,3,2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136044",2020-06-04,"washburn, wisconsin","policing; racism","general protesters","antiracism; against police brutality",1,150,150,150,55007,"5583525",1978,5,0,360,1485,184,31,31,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136050",2020-06-04,"pinedale, wyoming","policing; racism","general protesters","opposing BLM; All Lives Matter",2,10,10,10,56035,"5661580",1962,0,0,282,1421,39,4,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136051",2020-06-04,"pinedale, wyoming","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,56035,"5661580",1962,0,0,282,1421,39,4,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136073",2020-06-05,"homer, alaska","covid; policing; racism","general protesters","antiracism; against police brutality; increase awareness about covid's disproportionate effects on Black people",1,NA,NA,NA,2122,"0233140",5709,29,29,824,4157,514,76,82,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136074",2020-06-05,"butler, alabama","policing; racism","general protesters","antiracism; against police brutality",1,60,60,60,1023,"0111032",2419,782,735,197,1627,66,28,22,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136096",2020-06-05,"vestavia hills, alabama","policing; racism","Alabama Rally Against Injustice","antiracism; against police brutality",1,800,800,800,1073,"0178552",34307,1714,1670,9012,23606,4093,2196,1053,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136107",2020-06-05,"coolidge, arizona","policing; racism","general protesters","antiracism; against police brutality; in solidarity with George Floyd",1,100,100,100,4021,"0415500",12685,1129,1129,718,7994,344,37,57,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136664",2020-06-05,"beverly hills, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,"0606308",34186,665,665,8674,25207,3372,2963,911,1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136665",2020-06-05,"big bear lake, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6071,"0606434",5241,16,12,662,3905,284,69,89,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136666",2020-06-05,"carlsbad, california","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,6073,"0611194",114253,1030,1017,27394,80508,13496,4209,2832,5516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136667",2020-06-05,"clayton, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6013,"0613882",12083,279,279,3150,8307,1117,339,195,761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136675",2020-06-05,"cypress, california","policing; racism","general protesters","antiracism; against police brutality",1,400,400,400,6059,"0617750",48893,1902,1902,9490,33681,3811,566,511,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136676",2020-06-05,"dana point, california","policing; racism","general protesters","antiracism; against police brutality",1,1000,1000,1000,6059,"0617946",33769,472,472,8496,26988,3618,980,663,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136685",2020-06-05,"garberville, california","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,6023,"0628154",913,0,0,118,612,0,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136686",2020-06-05,"laguna beach, california","policing; racism","general protesters","antiracism; against police brutality",1,250,250,250,6059,"0639178",23036,194,194,6463,17871,2975,1334,1030,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136691",2020-06-05,"larkspur, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6041,"0640438",12319,88,73,3913,9357,1902,711,340,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136729",2020-06-05,"los altos, california","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,6085,"0643280",30504,145,129,6976,21494,7177,2026,1929,886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138008",2020-06-05,"los gatos, california","criminal justice; policing; racism","general protesters","support prisoners; antiracism; against police brutality",1,NA,NA,NA,6085,"0644112",30729,284,276,8532,22572,5090,1080,1060,1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138012",2020-06-05,"mill valley, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6041,"0647710",14330,167,164,4335,10762,2326,1101,466,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138013",2020-06-05,"mission hills, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6037,"0648186",3842,170,144,374,2652,267,55,38,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138031",2020-06-05,"mountain house, california","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,6077,"0649582",17966,1767,1767,2706,9875,1682,217,63,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138032",2020-06-05,"mountain view, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6085,"0649651",1970,95,95,302,1350,33,7,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138033",2020-06-05,"mountain view, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6085,"0649670",81656,1273,1268,17555,59633,15925,2843,5124,3487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138034",2020-06-05,"novato, california","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,6041,"0652582",55642,2068,2066,12232,40514,4061,1684,832,2885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138785",2020-06-05,"stanford, california","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,6085,"0673906",16326,618,119,2052,5778,1696,494,1164,7455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138847",2020-06-05,"yreka, california","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,6093,"0686944",7562,119,118,618,5117,186,99,101,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139149",2020-06-05,"deep river, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9007,"0919200",2354,92,92,478,1716,187,23,32,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139150",2020-06-05,"derby, connecticut","policing; racism","New Beginnings Church; general protesters","antiracism; against police brutality",1,50,50,50,9009,"0919480",12485,1108,1105,1339,9239,320,152,56,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139151",2020-06-05,"east haven, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,9009,"0922980",28742,1192,1177,3158,20785,1250,338,236,1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139152",2020-06-05,"mystic, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,9011,"0949810",4249,59,21,914,3556,717,208,179,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139157",2020-06-05,"trumbull, connecticut","military; policing; racism","general protesters","protesting police brutality; hear calls for peace among deepening racial tensions",1,1000,1000,1000,9001,"0977270",35976,1650,1616,7500,24096,4564,856,406,1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139159",2020-06-05,"westport, connecticut","policing; racism","general protesters","antiracism; against police brutality",1,200,1000,600,9001,"0983570",28016,300,288,7054,18635,5068,1927,478,1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139683",2020-06-05,"hiawassee, georgia","policing; racism","general protesters","antiracism; against police brutality",1,50,50,50,13281,"1338124",815,14,0,136,739,58,14,33,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139716",2020-06-05,"charles, iowa","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,19067,"1912765",7396,239,239,827,5021,152,13,28,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139743",2020-06-05,"dubuque, iowa","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,19061,"1922395",58196,3026,2689,7649,38926,3301,659,486,4985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139744",2020-06-05,"iowa, iowa","policing; racism","general protesters","antiracism; against police brutality",1,200,300,250,19103,"1938595",74950,6203,5887,11120,39626,6628,2498,3175,20646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139745",2020-06-05,"keokuk, iowa","policing; racism","Keokuk Association for Rights and Equality","antiracism; against police brutality",1,NA,NA,NA,19111,"1940845",10324,474,461,777,6933,311,59,19,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139757",2020-06-05,"chenoa, illinois","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,17113,"1712931",1997,37,37,215,1349,56,15,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139864",2020-06-05,"crystal lake, illinois","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,17111,"1717887",39974,620,588,7390,27208,2968,402,336,1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139869",2020-06-05,"flora, illinois","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,17025,"1726454",4917,28,17,305,3336,128,77,14,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139870",2020-06-05,"gibson, illinois","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,17053,"1729125",3360,34,34,387,2305,171,15,19,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139871",2020-06-05,"herrin, illinois","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,17199,"1734358",12827,235,235,1368,8664,379,130,64,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139872",2020-06-05,"herrin, illinois","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,17199,"1734358",12827,235,235,1368,8664,379,130,64,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139884",2020-06-05,"moline, illinois","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,17161,"1749867",41920,2450,2424,5260,29181,2281,407,272,1510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139894",2020-06-05,"sandwich, illinois","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,17037,"1767548",7297,5,5,592,4636,183,12,43,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139895",2020-06-05,"sterling, illinois","policing; racism","YWCA of Sauk County","antiracism; against police brutality",1,300,300,300,17195,"1772546",14782,472,450,942,9999,453,121,52,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139896",2020-06-05,"tuscola, illinois","policing; racism","general protesters","antiracism; against police brutality",1,24,24,24,17041,"1776407",4564,6,0,578,3176,171,40,0,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139982",2020-06-05,"la porte, indiana","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,18091,"1842246",21577,742,636,1657,14200,541,122,40,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139990",2020-06-05,"plymouth, indiana","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,18099,"1860822",10054,168,81,633,6174,385,34,8,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139999",2020-06-05,"emporia, kansas","policing; racism","students, Black Lives Matter","antiracism; against police brutality",1,500,500,500,20111,"2021275",24607,747,693,2306,13759,1178,230,172,3629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140176",2020-06-05,"zachary, louisiana","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,22033,"2283405",17283,8224,8146,2566,10524,1188,194,232,861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140201",2020-06-05,"gardner, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,1000,1000,1000,25027,"2525485",20610,586,367,1748,15014,818,104,83,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140202",2020-06-05,"lawrence, massachusetts","policing; racism","the Black Lawrence Activist Collective","antiracism; against police brutality",1,300,300,300,25009,"2534550",79942,4530,4429,3669,49650,1191,394,133,4057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140204",2020-06-05,"longmeadow, massachusetts","racism","Longmeadow Anti-Racist Coalition","against systemic racism",1,NA,NA,NA,25013,"2536335",15791,150,93,3588,10953,2184,920,443,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140211",2020-06-05,"mansfield, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,300,300,300,25005,"2538230",7905,148,148,1402,5751,1025,139,283,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140212",2020-06-05,"mattapoisett, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25023,"2539485",3354,0,0,724,2482,292,110,116,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140213",2020-06-05,"orleans, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25001,"2551405",1798,207,207,334,1580,173,96,35,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140214",2020-06-05,"salem, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25009,"2559105",43252,2855,2622,7825,30531,4042,634,634,3761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140215",2020-06-05,"waltham, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,25017,"2572600",62777,4450,4008,12611,42824,8174,1053,1389,9011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140216",2020-06-05,"wellesley, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,211,211,211,25021,"2574210",28747,835,420,5417,15964,4543,1976,1440,4906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140217",2020-06-05,"williamstown, massachusetts","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,25003,"2579950",4506,266,0,344,1581,376,105,272,2368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140377",2020-06-05,"cumberland, maryland","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,24001,"2421325",19650,1144,774,1528,13126,711,221,85,1367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140382",2020-06-05,"frostburg, maryland","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,24001,"2430900",8591,1133,127,435,4099,641,30,94,3050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140390",2020-06-05,"sykesville, maryland","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,24013,"2476550",3939,100,87,1011,2712,283,37,46,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140392",2020-06-05,"ellsworth, maine","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,23009,"2323200",7991,27,10,1216,6101,454,129,30,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140393",2020-06-05,"guilford, maine","policing; racism","general protesters","antiracism; against police brutality",1,1700,1700,1700,23021,"2330060",591,0,0,38,464,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140396",2020-06-05,"wiscasset, maine","policing; racism","general protesters","antiracism; against police brutality",1,75,75,75,23015,"2387040",1220,0,0,99,883,89,17,15,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140397",2020-06-05,"bad axe, michigan","policing; racism","general protester","opposing BLM; All Lives Matter",2,3,3,3,26063,"2604740",2948,14,0,187,2082,63,27,6,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140398",2020-06-05,"bad axe, michigan","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,26063,"2604740",2948,14,0,187,2082,63,27,6,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140399",2020-06-05,"caro, michigan","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,26157,"2613420",4054,37,18,245,2913,89,13,18,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140400",2020-06-05,"cheboygan, michigan","policing; racism","general protesters","antiracism; against police brutality",1,100,100,100,26031,"2615000",4719,135,50,373,3418,90,37,0,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140586",2020-06-05,"east grand rapids, michigan","policing; racism","general protesters","antiracism; against police brutality",1,NA,NA,NA,26081,"2623980",11759,128,128,3140,7555,1746,862,264,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140587",2020-06-05,"grand blanc, michigan","policing; racism","general protesters","antiracism; against police brutality",1,200,500,350,26049,"2633280",7905,1224,1194,1572,5448,591,233,80,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140588",2020-06-05,"huntington woods, michigan","policing; racism","general protesters","antiracism; against police brutality",1,700,700,700,26125,"2640000",6322,103,103,1501,4319,1057,633,139,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140597",2020-06-05,"lake orion, michigan","policing; racism","general protesters","antiracism; against police brutality",1,200,200,200,26125,"2644940",3141,8,0,622,2371,262,43,38,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
